word	translation	key
Είμαι	быть	
Έχω	иметь	
Κάνω	делать	
Πάω	идти	
Έρχομαι	приходить	
Βλέπω	видеть	
Ακούω	слушать	
Ξέρω	знать	
Θέλω	хотеть	
Μένω	жить	
Πίνω	пить	
Τρώω	есть	
Παίζω	играть	
Μαθαίνω	учиться	
Γράφω	писать	
Δουλεύω	работать	
Αγαπώ	любить	
Μιλώ	говорить	
Ανοίγω	открывать	
Κλείνω	закрывать	
Κοιμάμαι	спать	
Ξυπνάω	просыпаться	
Φεύγω	уходить	
Έρχομαι	приходить	
Βοηθάω	помогать	
Περπατάω	гулять	
Τρέχω	бегать	
Λέω	говорить,сказать	
Βρίσκω	находить	
Χάνω	терять	
Αγοράζω	покупать	
Πουλάω	продавать	
Στέλνω	отправлять	
